"FallOfYear","RptngDistrictName","ReportingDistrictCode","SchoolName","SchoolCode","SchoolOrgType","SchoolLowGrade","SchoolHighGrade","SchoolTitleIType","Category","TotalPoints","TotalPossiblePoints","Accountability Index ","FinalCategory","AchievementGapFlag","Ind1ELA_All_Rate","Ind1ELA_All_Points","Ind1ELA_All_PossiblePoints","Ind1ELA_HN_Rate","Ind1ELA_NHN_Rate","Ind1ELA_HN_Points","Ind1ELA_HN_PossiblePoints","Ind1Math_All_Rate","Ind1Math_All_Points","Ind1Math_All_PossiblePoints","Ind1Math_NHN_Rate","Ind1Math_HN_Rate","Ind1Math_HN_Points","Ind1Math_HN_PossiblePoints","Ind1Sci_All_Rate","Ind1Sci_All_Points","Ind1Sci_All_PossiblePoints","Ind1Sci_HN_Rate","Ind1Sci_NHN_Rate","Ind1Sci_HN_Points","Ind1Sci_HN_PossiblePoints","Ind1ELAGap","Ind1MathGap","Ind1SciGap","Ind2ELA_All_Rate","Ind2ELA_All_Points","Ind2ELA_All_Possiblepoints","Ind2Math_All_Rate","Ind2Math_All_Points","Ind2Math_All_Possiblepoints","Ind2ELA_HN_Rate","Ind2ELA_NHN_Rate","Ind2ELA_HN_Points","Ind2ELA_HN_Possiblepoints","Ind2Math_HN_Rate","Ind2Math_NHN_Rate","Ind2Math_HN_Points","Ind2Math_HN_Possiblepoints","Ind3PartRateFlag","Ind3ELA_All_Rate","Ind3ELA_HN_Rate","Ind3ELA_NHN_Rate","Ind3Math_All_Rate","Ind3Math_HN_Rate","Ind3Math_NHN_Rate","Ind3Sci_All_Rate","Ind3Sci_HN_Rate","Ind3Sci_NHN_Rate","Ind4Rate","Ind4Points","Ind4PossiblePoints","Ind4HNRate","Ind4HNPoints","Ind4HNPossiblePoints","Ind5Rate","Ind5Points","Ind5PossiblePoints","Ind6Rate","Ind6Points","Ind6PossiblePoints","Ind7Rate","Ind7points","Ind7PointsPossible","Ind8Rate","Ind8Points","Ind8PointsPossible","Ind9Rate","Ind9Points","Ind9PointsPossible","GradGapFlag","Ind10Rate","Ind10Points","Ind10PossiblePoints","Ind11FitnessRate","Ind11ParticipationRate","Ind11Points","Ind11PossiblePoints","Ind12Rate","Ind12Points","Ind12PossiblePoints","Grad6YrRateHN","Grad6YrRateNHN","Grad6YrHNNHNDiff","Hurdle_Mean_ELA","Hurdle_Mean_Math","Hurdle_Mean_Sci","Hurdle_Means_Grad","SupportType","SupportCategory","Distinction","DistinctionCategory","schoolyear","Ind2LEP_LTCY_Rate","Ind2LEP_LTCY_Points","Ind2LEP_LTCY_PossiblePoints","Ind2LEP_ORAL_Rate","Ind2LEP_ORAL_Points","Ind2LEP_ORAL_PossiblePoints"
"2014","Avon School District","0040011","District","0000000","District","District","District",,"DistrictTot","1,129.326687","1,250","90.34613497",,"1","81.39178574","100","100","62.49996013","75","83.33328017","100","75.89506","100","100","75","55.99645485","74.6619398","100","68.12446941","90.83262588","100","52.15555556","71.2752865","69.54074074","100","12.5","19","19.11",,,,,,,,,,,,,,,"0","0.9907759088","0.9834437086","0.9922128488","0.990296496","0.9872611465","0.9909149903","0.9987745098","1","0.9985337243","0.0302571861","50","50","0.0717131474","45.65737052","50","0.4475806452","29.83870968","50","0.7016129032","46.77419355","50","0.9822064057","50","50","0.9742647059","100","100","0.9318181818","99.12959381","100","0","0.882","100","100","0.593373494","0.9179723502","39.55823293","50","0.6465517241","50","50","0.9318181818","0.94","0.0081818182","17.26397452","19.63152452","17.1688618","15.16150117",,,,,"2014-15",,,,,,
"2014","Avon School District","0040011","Roaring Brook School","0040311","Public Schools","K","4",,"SchoolTot","488.3647803","550","88.79359642",,"0","85.06961875","100","100","68.55071569","75","91.40095425","100","79.98353605","100","100","75","62.35401709","83.13868946","100",,,"0",,,,"0","6.44","12.64",,,,,,,,,,,,,,,,"0","1","1","1","1","1","1",,,,"0.0461254612","50","50","0.1475409836","30.49180328","50",,,,,,,,,,,,,,,,,,,,"0.5","1","33.33333333","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
"2014","Avon School District","0040011","Pine Grove School","0040411","Public Schools","K","4","Targeted Assistance","SchoolTot","515.469847","550","93.72179036",,"0","82.79496702","100","100","68.60013846","75","91.46685129","100","76.59796957","100","100","75","61.75224678","82.33632905","100",,,"0",,,,"0","6.39","13.24",,,,,,,,,,,,,,,,"0","0.996031746","0.9772727273","1","1","1","1",,,,"0","50","50","0","50","50",,,,,,,,,,,,,,,,,,,,"0.625","1.006993007","41.66666667","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
"2014","Avon School District","0040011","Thompson Brook School","0040511","Public Schools","5","6","Targeted Assistance","SchoolTot","632.6918419","750","84.35891225",,"0","82.1889186","100","100","63.68497199","75","84.91329599","100","75.67613152","100","100","75","56.50481139","75.33974852","100","63.73466667","84.97955556","100","49.93266667","66.80177778","66.57688889","100","11.31","18.49","16.86",,,,,,,,,,,,,,,"0","0.9946428571","0.9894736842","0.9956989247","0.9946619217","0.9896907216","0.9956989247","1","1","1","0.0447227191","50","50","0.0705882353","45.88235294","50",,,,,,,,,,,,,,,,,,,,"0.7688888889","0.809352518","25","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
"2014","Avon School District","0040011","Avon Middle School","0045111","Public Schools","7","8",,"SchoolTot","693.5239148","800","86.69048935",,"1","81.53638504","100","100","64.46637895","75","85.95517193","100","77.08860884","100","100","75","57.73046211","76.97394948","100","67.82115621","90.42820828","100","52.68717949","70.36522989","70.24957265","100","10.53","17.26","17.67",,,,,,,,,,,,,,,"0","1","1","1","1","1","1","1","1","1","0.0018181818","50","50","0","50","50",,,,,,,"0.9815498155","50","50",,,,,,,,,,,"0.5975103734","0.8763636364","19.91701245","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
"2014","Avon School District","0040011","Avon High School","0046111","Public Schools","9","12","Targeted Assistance","SchoolTot","1,077.23517","1,250","86.17881359",,"1","75.11966633","100","100","48.17082001","75","64.22776002","100","69.9479434","93.26392453","100","74.81287586","44.70288846","59.60385127","100","73.44737533","97.92983377","100","55.41904762","75","73.89206349","100","26.82","30.1","19.58",,,,,,,,,,,,,,,"1","0.9471544715","0.925","0.9514563107","0.9392712551","0.9268292683","0.9417475728","0.996124031","1","0.9953703704","0.0472061657","50","50","0.1468531469","30.62937063","50","0.4530612245","30.20408163","50","0.7102040816","47.34693878","50","0.9827586207","50","50","0.9851301115","100","100","0.9318181818","99.12959381","100","0","0.8823529412","100","100","0.4651162791","1","31.00775194","50","0.6493256262","50","50","0.9318181818","0.94","0.0081818182","16.82393905","19.4962559","17.33508251","12.62920614",,,,,"2014-15",,,,,,
"2014","Barkhamsted School District","0050011","District","0000000","District","District","District",,"DistrictTot","539.2265331","650","82.95792817",,"1","75.09854758","100","100","62.00125037","75","82.66833383","100","62.18278561","82.91038081","100","67.16564801","47.13038879","62.84051839","100","60.42028986","80.56038647","100",,"63.84190476",,"0","12.99","20.03",,,,,,,,,,,,,,,,"0","0.9658536585","0.9615384615","0.9673202614","0.9609756098","0.9615384615","0.9607843137","1",,"1","0.02","50","50","0.0491803279","50","50",,,,,,,,,,,,,,,,,,,,"0.4537037037","0.9818181818","30.24691358","50",,,,,,,"17.26397452","19.63152452","17.1688618",,,,,,"2014-15",,,,,,
"2014","Barkhamsted School District","0050011","Barkhamsted Elementary School","0050111","Public Schools","PK","6","Targeted Assistance","SchoolTot","539.2265331","650","82.95792817",,"1","75.09854758","100","100","62.00125037","75","82.66833383","100","62.18278561","82.91038081","100","67.16564801","47.13038879","62.84051839","100","60.42028986","80.56038647","100",,"63.84190476",,"0","12.99","20.03",,,,,,,,,,,,,,,,"0","0.9656862745","0.9607843137","0.9673202614","0.9607843137","0.9607843137","0.9607843137","1",,"1","0.02","50","50","0.0491803279","50","50",,,,,,,,,,,,,,,,,,,,"0.4537037037","0.9818181818","30.24691358","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
"2014","Berlin School District","0070011","District","0000000","District","District","District",,"DistrictTot","1,047.956816","1,250","83.83654528",,"1","68.9029091","91.87054546","100","54.83659742","73.1552455","73.11546322","100","63.95632349","85.27509799","100","68.39290624","49.24044519","65.65392692","100","62.41592539","83.22123386","100","51.21190476","65.59349294","68.28253968","100","18.31","19.15","14.38",,,,,,,,,,,,,,,"0","0.9925742574","0.9770992366","0.9975470155","0.9925696594","0.9745547074","0.9983633388","0.9985734665","0.9936708861","1","0.0597067039","48.05865922","50","0.1581325301","28.37349398","50","0.7420042644","49.46695096","50","0.4371002132","29.14001421","50","0.966367713","50","50","0.9489361702","100","100","0.9677419355","100","100","0","0.881","100","100","0.6465222349","0.9022633745","43.10148233","50","0.3887688985","32.39740821","50","0.9677419355","0.94","-0.0277419355","17.26397452","19.63152452","17.1688618","15.16150117",,,,,"2014-15",,,,,,
"2014","Berlin School District","0070011","Richard D. Hubbard School","0070111","Public Schools","K","5",,"SchoolTot","550.5235536","650","84.69593132",,"0","72.0445517","96.05940226","100","59.47193795","75","79.29591726","100","63.75266847","85.00355797","100","69.23187782","52.39333202","69.85777603","100","59.05428571","78.73904762","100",,"60.63333333",,"0","15.52","16.83",,,,,,,,,,,,,,,,"0","1","1","1","1","1","1","1",,"1","0.0263157895","50","50","0.0724637681","45.50724638","50",,,,,,,,,,,,,,,,,,,,"0.6909090909","0.9821428571","46.06060606","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
